frame,u,v,conf,cls,w_px,h_px,angle_deg,colour_b,colour_g,colour_r
359,947.0458984375,233.7048797607422,0.7622836232185364,9,25.178813934326172,86.80085754394531,4.678899001285821,219.0,222.0,217.0
359,905.8174743652344,693.3272399902344,0.6942915320396423,10,24.841808319091797,58.481361389160156,5.27297647557566,47.0,35.0,29.0
360,946.4426574707031,247.87860107421875,0.7989657521247864,9,25.033050537109375,86.40916442871094,4.946545940328295,220.0,221.0,216.0
360,905.4611206054688,706.5655517578125,0.7586941719055176,10,24.683380126953125,58.30034637451172,5.66699301332077,46.0,34.0,28.0
361,905.0606384277344,720.5264892578125,0.6865436434745789,10,24.492618560791016,58.192657470703125,4.836484272042709,47.0,31.0,26.0
361,945.8768005371094,261.7966613769531,0.6679906845092773,9,24.534528732299805,85.464599609375,4.779213989625799,217.0,216.0,214.0
362,945.5932922363281,274.7451171875,0.7945229411125183,9,25.012643814086914,85.23611450195312,4.675541109535113,225.5,224.0,221.0
362,904.5908813476562,733.72900390625,0.6118144392967224,10,24.323238372802734,58.30180740356445,4.986478641310774,49.0,32.0,27.0
363,945.0472717285156,288.3559875488281,0.8081279993057251,9,25.068828582763672,86.29585266113281,4.502125594716252,220.0,220.0,214.5
363,903.951904296875,747.208984375,0.6550559401512146,10,24.330610275268555,58.31928253173828,5.133313621200885,50.0,33.0,27.0
364,944.1914672851562,302.0831298828125,0.8236333727836609,9,24.568126678466797,84.62195587158203,4.525809275663271,221.0,217.0,214.0
364,903.0859680175781,760.0538024902344,0.5303664803504944,10,23.415542602539062,57.44773864746094,4.841880975260666,44.0,33.0,28.0
365,943.7761840820312,315.30401611328125,0.8313807845115662,9,24.20175552368164,84.81370544433594,4.225900791849888,218.0,217.0,212.0
365,902.4488220214844,773.8788757324219,0.6953299641609192,10,23.97831916809082,58.01628112792969,4.961990278702163,45.0,34.0,28.0
366,943.4698791503906,328.2918701171875,0.811027467250824,9,24.266067504882812,85.25062561035156,4.1294969405833895,220.5,218.5,215.0
366,902.4401550292969,787.7142944335938,0.6248691082000732,10,24.163097381591797,58.46922302246094,5.061205179698945,44.0,34.0,28.0
367,942.7989807128906,342.35491943359375,0.8045395612716675,9,24.347965240478516,83.5435791015625,4.016050059790417,222.0,221.0,219.0
367,901.6215209960938,800.9148559570312,0.5712093710899353,10,24.087764739990234,59.288177490234375,4.532563052091944,45.0,33.0,28.0
368,942.2988586425781,354.8556823730469,0.7242627143859863,9,24.33542823791504,83.33958435058594,4.0562781664545,223.0,223.0,221.0
368,900.7403564453125,814.514892578125,0.5952873826026917,10,24.379051208496094,59.21165466308594,4.02728870918285,43.0,32.0,27.0
369,942.0158996582031,368.4412841796875,0.7705342769622803,9,24.277027130126953,83.5369873046875,4.074350846998353,226.5,227.0,223.0
369,900.3440246582031,828.6558837890625,0.5838907957077026,10,24.74917984008789,59.84476852416992,3.8588780154783144,43.0,31.5,26.0
370,941.5592651367188,381.86077880859375,0.8043586611747742,9,24.155698776245117,83.1239013671875,4.060172654941876,225.0,225.0,223.0
370,900.0361633300781,842.0411987304688,0.7060524821281433,10,25.3469181060791,60.39374542236328,4.558081919491581,43.0,31.0,26.0
371,941.0708923339844,394.30328369140625,0.7421354651451111,9,24.054824829101562,82.036865234375,3.891638590945458,222.0,224.0,221.0
371,899.0059204101562,855.1405029296875,0.7245820164680481,10,25.25823211669922,59.447662353515625,4.839134385440674,40.0,29.0,24.0
372,898.6942749023438,869.0935974121094,0.6621829867362976,10,24.39972686767578,59.076995849609375,4.998983437020598,42.0,31.0,26.0
372,940.4385375976562,407.9552307128906,0.5657919645309448,9,23.545347213745117,81.56913757324219,3.8828088638959235,226.5,223.5,221.5
373,939.7946166992188,421.0369567871094,0.7459335327148438,9,24.34088134765625,79.87361145019531,4.116037625937056,230.0,227.0,224.0
373,898.433837890625,882.6232299804688,0.7174729704856873,10,24.155839920043945,57.80193328857422,5.160581017028045,40.0,30.0,25.0
373,937.2169799804688,451.2842607498169,0.5123971104621887,10,25.76390838623047,22.079912185668945,4.582339763215704,177.5,178.5,173.5
374,897.7955932617188,896.1434936523438,0.6988214254379272,10,23.86284065246582,57.747467041015625,5.170118949317145,42.0,31.0,25.0
374,939.1333312988281,433.9475402832031,0.6552948951721191,9,24.216825485229492,80.49847412109375,3.85840075601006,230.0,228.0,225.0
